"Index" "AAPL" "ACN" "ADBE" "AMD" "AMZN" "CTSH" "FB" "GOOGL" "IBM" "INTC" "NFLX" "NVDA" "TWTR" "SPY"
2017-07-12 126.797032055201 109.590358109879 127.443448336099 12.4814394270242 879.124823128657 59.3805659882959 138.789408681981 845.19169621801 132.843958424317 29.692381867412 138.658398113372 141.817669665473 16.8136955192593 213.127779718753
2017-07-13 128.923522816852 110.125254445126 127.047388105457 11.8507488832443 876.438648506613 59.3459840588596 139.493733029693 848.60293947622 133.155634580012 29.7669107471315 138.574062363143 140.569946570903 16.9221336603311 214.084258561794
2017-07-14 130.054315374507 110.994303109943 128.042053438458 12.1944809461235 877.625929040736 60.1693622426632 140.140167323697 855.812503723171 133.707762593079 30.1547122207622 141.147608409987 144.37573455979 17.2054305738064 215.120453788874
2017-07-17 129.972933170476 110.2948857093 127.726395044495 12.0397836328738 881.207448961787 59.9748691327866 139.356129820276 851.47445646484 132.097581573896 29.8492139242715 141.074853428721 143.173543011691 17.3966157738615 214.212178502879
2017-07-18 129.375118996106 110.229340545219 127.98788316746 11.665945478148 886.58585114669 59.4058070099524 140.943315447858 854.132420597144 131.882222414539 29.6605106014712 158.892259627867 143.499806144526 17.2912159238425 212.600609260061
2017-07-19 130.433777854851 110.795108818174 129.125117488945 11.748894476719 890.37544004162 60.133441428943 142.322031561606 860.80813318304 126.582458163531 29.7429099106911 159.420793375531 143.028503424954 17.4455917801093 214.159373103269
2017-07-20 130.389136264693 111.919889420984 130.552896821942 12.0156726164562 895.689987810187 60.7844257727471 143.256420548542 863.900741837179 127.223505441881 30.0314157596865 159.860693077928 145.714114932521 17.8754906399652 215.150201131911
2017-07-21 128.57086840749 110.676864799863 128.431544408177 11.9223501116647 881.008455591823 59.981857928191 141.238612781309 853.667777873218 125.014831644047 29.6093712420546 161.948112867205 144.263986428449 17.2736651778045 212.059787837141
2017-07-24 130.061015625 109.898690762363 128.373968921703 12.1565934065934 891.955658482143 59.9338195398352 142.513736263736 857.065588942308 124.024428228022 29.3981310096154 161.323835851648 142.517037259615 17.1703296703297 211.899044471154
2017-07-25 130.103085342911 110.270221481101 126.740214639986 12.066016760732 889.233790832906 59.7066016760732 141.337437147255 828.655745681546 123.705797845049 29.4267778347871 159.885412177185 141.272925431845 17.077132717633 211.578585599453
2017-07-26 131.277676056338 111.224660769495 128.632771384404 12.6760563380282 904.156689282034 60.0315407076606 142.227757643422 829.019235657849 123.531638612161 29.621333734112 162.384062177946 143.518437822054 16.8412925111645 212.495699931295
2017-07-27 128.246168120404 109.594667350778 125.021375919275 12.0745681546092 894.475799555328 59.4932666324611 145.749958953309 814.52882674876 122.758067384984 29.6814109799897 156.21685736275 138.188586454592 14.4005472892081 211.390454079015
2017-07-28 126.963259442408 109.472243157984 125.100175633046 11.8935970670986 869.67344019098 58.9754275726831 147.028729644471 817.060292437548 121.733666979282 29.8805601500554 156.910216557251 140.033585130872 14.2808423565521 210.51240855998
2017-07-31 126.330880873199 109.849072226486 124.916862795259 11.6056962565021 842.312636650465 58.9854856314488 144.325061823143 806.259060288224 122.075087405133 30.0210787072568 154.907481879424 138.455743156818 13.7204741195532 210.428928114607
2017-08-01 126.534928885879 109.93904588554 124.754487809008 11.6068405011852 843.371149678293 58.7215348797833 143.802913139181 801.354552996952 121.724406535726 30.5444962749746 154.105993057907 139.134190653573 13.7233313579411 209.380297155435
2017-08-02 132.323383210753 108.732771155634 124.380763378138 11.3027305773945 841.905499196889 57.801999323696 143.122836249894 801.115914278468 120.838412376363 30.7439352438921 152.793985121312 138.84976921126 13.5852565728295 209.180828472398
2017-08-03 130.658913996627 109.629008431703 124.612135750422 11.1635750421585 832.141638279933 58.8540758853288 142.150080944351 792.833042158516 120.931397133221 30.7672866779089 151.121413153457 140.247518549747 13.6424957841484 208.229348229342
2017-08-04 131.259065554432 109.706771991911 124.460740647118 11.0549376474553 832.136852881699 59.848601280755 142.922139366363 796.924484327604 121.033311425682 30.5864501179643 151.89585776879 140.767548870913 13.7259866868891 208.468153016515
2017-08-07 134.09239382894 109.926246503348 125.828602186997 11.3842502331101 841.120640840892 58.8638670848521 145.782822751547 801.686869543104 120.344156141392 30.8807323895906 153.708571670764 145.967953717047 13.9018394507078 210.112736288887
2017-08-08 134.970227695954 109.302526663281 125.11426951075 11.0970035551041 837.853417132216 59.3619722363298 144.938205518876 799.212800067716 120.289487895717 30.8193668528864 150.973422210936 144.024201794481 13.6702217707804 209.294053665143
2017-08-09 136.757303725173 110.493559798824 126.459812462706 10.9368340294945 837.106819537976 60.4029332537721 145.921057880829 801.363922086779 120.850740772313 31.1908618191118 149.842297331856 146.584777938795 13.7584170147473 210.766345580087
2017-08-10 132.390050289806 109.307880156836 123.525398908967 10.3307193999318 815.649491135356 59.5472289464712 142.686663825435 787.240050289806 120.900098874872 30.8046360381862 144.169791169451 140.295851517218 13.4248210023866 207.773606375725
2017-08-11 133.854650233744 108.967273268168 124.496388440289 10.395240118997 822.770922226944 59.8891066723332 142.864430089248 790.556759031024 120.560982575436 30.4887369315767 145.686352741181 132.44608159796 13.5316617084573 207.496808329792
